UJLI,HY01,-1,-1,-1,-1,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,-1,-1,-1,-1,93,-1,-1,-1,-1,-1,93,93,89,89,-1,-1,-1,-1,-1,Hydro
UJLI,HY02,-1,-1,-1,-1,-1,87,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102,-1,-1,-1,-1,-1,-1,93,-1,-1,-1,-1,94,95,90,90,90,85,95,93,-1,Hydro
UPIA,HY01,6,5,5,6,6,5,6,6,5,6,5,5,5,5,5,5,6,6,5,6,5,5,6,5,5,5,5,6,6,5,6,6,5,6,6,6,5,6,6,5,6,5,5,5,5,5,5,6,Hydro
UPIA,HY02,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Hydro
BDLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,12,15,18,20,11,24,22,22,21,21,22,27,26,21,6,14,12,5,3,0,0,0,0,0,0,0,0,0,0,LSS
BKLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,17,22,25,29,32,33,23,36,36,35,34,21,28,24,20,15,7,4,2,1,0,0,0,0,0,0,0,0,0,LSS
BSLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,16,21,25,27,30,32,32,32,31,32,26,31,21,9,13,19,13,5,3,0,0,0,0,0,0,0,0,0,0,LSS
CHLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,19,16,20,26,19,28,29,38,24,39,43,26,41,29,25,25,20,7,4,1,0,0,0,0,0,0,0,0,0,LSS
GBLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,25,28,29,31,26,38,39,26,25,35,39,30,33,27,25,25,11,7,2,1,0,0,0,0,0,0,0,0,0,LSS
GELS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,11,14,16,22,24,25,27,27,30,30,19,29,15,6,19,14,8,8,0,0,0,0,0,0,0,0,0,0,0,0,LSS
